Movie,Genre,TotalRating,WatchCount
Avatar,Action Adventure Fantasy Science Fiction,72.0,10
Pirates of the Caribbean: At World's End,Adventure Fantasy Action,69.0,10
Spectre,Action Adventure Crime,63.0,10
The Dark Knight Rises,Action Crime Drama Thriller,76.0,10
John Carter,Action Adventure Science Fiction,61.0,10
Spider-Man 3,Fantasy Action Adventure,59.0,10
Tangled,Animation Family,74.0,10
Avengers: Age of Ultron,Action Adventure Science Fiction,73.0,10
Harry Potter and the Half-Blood Prince,Adventure Fantasy Family,74.0,10
Batman v Superman: Dawn of Justice,Action Adventure Fantasy,57.0,10
Superman Returns,Adventure Fantasy Action Science Fiction,54.0,10
Quantum of Solace,Adventure Action Thriller Crime,61.0,10
Pirates of the Caribbean: Dead Man's Chest,Adventure Fantasy Action,70.0,10
The Lone Ranger,Action Adventure Western,59.0,10
Man of Steel,Action Adventure Fantasy Science Fiction,65.0,10
The Chronicles of Narnia: Prince Caspian,Adventure Family Fantasy,63.0,10
The Avengers,Science Fiction Action Adventure,74.0,10
Pirates of the Caribbean: On Stranger Tides,Adventure Action Fantasy,64.0,10
Men in Black 3,Action Comedy Science Fiction,62.0,10
The Hobbit: The Battle of the Five Armies,Action Adventure Fantasy,71.0,10
The Amazing Spider-Man,Action Adventure Fantasy,65.0,10
Robin Hood,Action Adventure,62.0,10
The Hobbit: The Desolation of Smaug,Adventure Fantasy,76.0,10
The Golden Compass,Adventure Fantasy,58.0,10
King Kong,Adventure Drama Action,66.0,10
Titanic,Drama Romance Thriller,75.0,10
Captain America: Civil War,Adventure Action Science Fiction,71.0,10
Battleship,Thriller Action Adventure Science Fiction,55.0,10
Jurassic World,Action Adventure Science Fiction Thriller,65.0,10
Skyfall,Action Adventure Thriller,69.0,10
Spider-Man 2,Action Adventure Fantasy,67.0,10
Iron Man 3,Action Adventure Science Fiction,68.0,10
Alice in Wonderland,Family Fantasy Adventure,64.0,10
X-Men: The Last Stand,Adventure Action Science Fiction Thriller,63.0,10
Monsters University,Animation Family,70.0,10
Transformers: Revenge of the Fallen,Science Fiction Action Adventure,60.0,10
Transformers: Age of Extinction,Science Fiction Action Adventure,58.0,10
Oz: The Great and Powerful,Fantasy Adventure Family,57.0,10
The Amazing Spider-Man 2,Action Adventure Fantasy,65.0,10
TRON: Legacy,Adventure Action Science Fiction,63.0,10
Cars 2,Animation Family Adventure Comedy,58.0,10
Green Lantern,Adventure Action Thriller Science Fiction,51.0,10
Toy Story 3,Animation Family Comedy,76.0,10
Terminator Salvation,Action Science Fiction Thriller,59.0,10
Furious 7,Action,73.0,10
World War Z,Action Drama Horror Science Fiction Thriller,67.0,10
X-Men: Days of Future Past,Action Adventure Fantasy Science Fiction,75.0,10
Star Trek Into Darkness,Action Adventure Science Fiction,74.0,10
Jack the Giant Slayer,Action Family Fantasy,55.0,10
The Great Gatsby,Drama Romance,73.0,10
Prince of Persia: The Sands of Time,Adventure Fantasy Action Romance,62.0,10
Pacific Rim,Action Science Fiction Adventure,67.0,10
Transformers: Dark of the Moon,Action Science Fiction Adventure,61.0,10
Indiana Jones and the Kingdom of the Crystal Skull,Adventure Action,57.0,10
The Good Dinosaur,Adventure Animation Family,66.0,10
Brave,Animation Adventure Comedy Family Action,67.0,10
Star Trek Beyond,Action Adventure Science Fiction,66.0,10
WALL·E,Animation Family,78.0,10
Rush Hour 3,Action Comedy Crime Thriller,61.0,10
2012,Action Adventure Science Fiction,56.0,10
A Christmas Carol,Animation Drama,66.0,10
Jupiter Ascending,Science Fiction Fantasy Action Adventure,52.0,10
The Legend of Tarzan,Action Adventure,55.0,10
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure Family Fantasy,67.0,10
X-Men: Apocalypse,Science Fiction,64.0,10
The Dark Knight,Drama Action Crime Thriller,82.0,10
Up,Animation Comedy Family Adventure,77.0,10
Monsters vs Aliens,Animation Family Adventure Science Fiction,60.0,10
Iron Man,Action Science Fiction Adventure,74.0,10
Hugo,Adventure Drama Family,70.0,10
Wild Wild West,Action Adventure Comedy Science Fiction Western,51.0,10
The Mummy: Tomb of the Dragon Emperor,Adventure Action Fantasy,52.0,10
Suicide Squad,Action Adventure Crime Fantasy Science Fiction,59.0,10
Evan Almighty,Fantasy Comedy Family,53.0,10
Edge of Tomorrow,Action Science Fiction,76.0,10
Waterworld,Adventure Action,59.0,10
G.I. Joe: The Rise of Cobra,Adventure Action Thriller Science Fiction,56.0,10
Inside Out,Drama Comedy Animation Family,80.0,10
The Jungle Book,Family Adventure Drama Fantasy,67.0,10
Iron Man 2,Adventure Action Science Fiction,66.0,10
Snow White and the Huntsman,Adventure Fantasy Drama,58.0,10
Maleficent,Fantasy Adventure Action Family Romance,70.0,10
Dawn of the Planet of the Apes,Science Fiction Action Drama Thriller,73.0,10
The Lovers,Action Adventure Science Fiction Romance,48.0,10
47 Ronin,Drama Action Adventure Fantasy,59.0,10
Captain America: The Winter Soldier,Action Adventure Science Fiction,76.0,10
Shrek Forever After,Comedy Adventure Fantasy Animation Family,60.0,10
Tomorrowland,Adventure Family Mystery Science Fiction,62.0,10
Big Hero 6,Adventure Family Animation Action Comedy,85.7,11
Wreck-It Ralph,Family Animation Comedy Adventure,71.0,10
The Polar Express,Adventure Animation Family Fantasy,64.0,10
Independence Day: Resurgence,Action Adventure Science Fiction,49.0,10
How to Train Your Dragon,Fantasy Adventure Animation Family,75.0,10
Terminator 3: Rise of the Machines,Action Thriller Science Fiction,59.0,10
Guardians of the Galaxy,Action Science Fiction Adventure,79.0,10
Interstellar,Adventure Drama Science Fiction,99.0,12
Inception,Action Thriller Science Fiction Mystery Adventure,89.3,11
Shin Godzilla,Action Adventure Drama Horror Science Fiction,65.0,10
The Hobbit: An Unexpected Journey,Adventure Fantasy Action,70.0,10
The Fast and the Furious,Action Crime Thriller,66.0,10
The Curious Case of Benjamin Button,Fantasy Drama Thriller Mystery Romance,73.0,10
X-Men: First Class,Action Science Fiction Adventure,71.0,10
The Hunger Games: Mockingjay - Part 2,Action Adventure Science Fiction,66.0,10
The Sorcerer's Apprentice,Fantasy Adventure Action Comedy Drama,58.0,10
Poseidon,Adventure Action Drama Thriller,55.0,10
Alice Through the Looking Glass,Fantasy,65.0,10
Shrek the Third,Fantasy Adventure Animation Comedy Family,60.0,10
Warcraft,Action Adventure Fantasy,63.0,10
Terminator Genisys,Science Fiction Action Thriller Adventure,58.0,10
The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure Family Fantasy,62.0,10
Pearl Harbor,History Romance War,66.0,10
Transformers,Adventure Science Fiction Action,66.0,10
Alexander,War History Action Adventure Drama,56.0,10
Harry Potter and the Order of the Phoenix,Adventure Fantasy Family Mystery,74.0,10
Harry Potter and the Goblet of Fire,Adventure Fantasy Family,75.0,10
Hancock,Fantasy Action,62.0,10
I Am Legend,Drama Horror Action Thriller Science Fiction,69.0,10
Charlie and the Chocolate Factory,Adventure Comedy Family Fantasy,67.0,10
Ratatouille,Animation Comedy Family Fantasy,75.0,10
Batman Begins,Action Crime Drama,75.0,10
Madagascar: Escape 2 Africa,Family Animation,62.0,10
Night at the Museum: Battle of the Smithsonian,Adventure Fantasy Action Comedy Family,59.0,10
X-Men Origins: Wolverine,Adventure Action Thriller Science Fiction,62.0,10
The Matrix Revolutions,Adventure Action Thriller Science Fiction,64.0,10
Frozen,Animation Adventure Family,73.0,10
The Matrix Reloaded,Adventure Action Thriller Science Fiction,67.0,10
Thor: The Dark World,Action Adventure Fantasy,68.0,10
Mad Max: Fury Road,Action Adventure Science Fiction Thriller,72.0,10
Angels & Demons,Thriller Mystery,65.0,10
Thor,Adventure Fantasy Action,66.0,10
Bolt,Animation Family Adventure Comedy,63.0,10
G-Force,Fantasy Action Adventure Family Comedy,51.0,10
Wrath of the Titans,Adventure,55.0,10
Dark Shadows,Comedy Fantasy,57.0,10
Mission: Impossible - Rogue Nation,Action Adventure Thriller,71.0,10
The Wolfman,Drama Horror Thriller,55.0,10
Bee Movie,Family Animation Adventure Comedy,57.0,10
Kung Fu Panda 2,Animation Family,67.0,10
The Last Airbender,Action Adventure Family Fantasy,47.0,10
Mission: Impossible III,Adventure Action Thriller,65.0,10
White House Down,Action Drama Thriller,64.0,10
Mars Needs Moms,Adventure Animation Family,55.0,10
Flushed Away,Adventure Animation Comedy Family,60.0,10
Pan,Adventure Family Fantasy,59.0,10
Mr. Peabody & Sherman,Animation Adventure Family,67.0,10
Troy,Adventure Drama War,69.0,10
Madagascar 3: Europe's Most Wanted,Animation Family,64.0,10
Die Another Day,Adventure Action Thriller,58.0,10
Ghostbusters,Action Fantasy Comedy,53.0,10
Armageddon,Action Thriller Science Fiction Adventure,64.0,10
Men in Black II,Action Adventure Comedy Science Fiction,60.0,10
Beowulf,Adventure Action Animation,55.0,10
Kung Fu Panda 3,Action Adventure Animation Comedy Family,67.0,10
Mission: Impossible - Ghost Protocol,Action Thriller Adventure,68.0,10
Rise of the Guardians,Fantasy Animation Family,71.0,10
Fun with Dick and Jane,Comedy,59.0,10
The Last Samurai,Drama Action War History,73.0,10
Exodus: Gods and Kings,Adventure Drama Action,56.0,10
Star Trek,Science Fiction Action Adventure,74.0,10
Spider-Man,Fantasy Action,68.0,10
How to Train Your Dragon 2,Fantasy Action Adventure Animation Comedy,76.0,10
Gods of Egypt,Fantasy,53.0,10
Stealth,Action,49.0,10
Watchmen,Action Mystery Science Fiction,70.0,10
Lethal Weapon 4,Action Adventure Comedy Crime Thriller,63.0,10
Hulk,Drama Action Science Fiction,53.0,10
G.I. Joe: Retaliation,Adventure Action Science Fiction Thriller,54.0,10
Sahara,Action Adventure Comedy Drama Mystery,57.0,10
Final Fantasy: The Spirits Within,Adventure Action Animation Fantasy Science Fiction,59.0,10
Captain America: The First Avenger,Action Adventure Science Fiction,66.0,10
The World Is Not Enough,Adventure Action Thriller,60.0,10
Master and Commander: The Far Side of the World,Adventure,69.0,10
The Twilight Saga: Breaking Dawn - Part 2,Adventure Fantasy Drama Romance,61.0,10
Happy Feet Two,Animation Comedy Family,58.0,10
The Incredible Hulk,Science Fiction Action Adventure,61.0,10
The BFG,Adventure Family Fantasy,60.0,10
The Revenant,Western Drama Adventure Thriller,73.0,10
Turbo,Animation Family,61.0,10
Rango,Animation Comedy Family Western Adventure,66.0,10
Penguins of Madagascar,Family Animation Adventure Comedy,65.0,10
The Bourne Ultimatum,Action Drama Mystery Thriller,73.0,10
Kung Fu Panda,Adventure Animation Family Comedy,69.0,10
Ant-Man,Science Fiction Action Adventure,70.0,10
The Hunger Games: Catching Fire,Adventure Action Science Fiction,74.0,10
Home,Fantasy Comedy Animation Science Fiction Family,68.0,10
War of the Worlds,Adventure Thriller Science Fiction,62.0,10
Bad Boys II,Adventure Action Comedy Thriller Crime,63.0,10
Puss in Boots,Action Adventure Animation Family Fantasy,64.0,10
Salt,Action Mystery Thriller,62.0,10
Noah,Drama Adventure,56.0,10
The Adventures of Tintin,Adventure Animation Mystery,67.0,10
Harry Potter and the Prisoner of Azkaban,Adventure Fantasy Family,77.0,10
Australia,Drama,63.0,10
After Earth,Science Fiction Action Adventure,50.0,10
Dinosaur,Animation Family,62.0,10
Night at the Museum: Secret of the Tomb,Adventure Comedy Fantasy Family,61.0,10
Megamind,Animation Action Comedy Family Science Fiction,67.0,10
Harry Potter and the Philosopher's Stone,Adventure Fantasy Family,75.0,10
R.I.P.D.,Fantasy Action Comedy Crime,54.0,10
Pirates of the Caribbean: The Curse of the Black Pearl,Adventure Fantasy Action,75.0,10
The Hunger Games: Mockingjay - Part 1,Science Fiction Adventure Thriller,66.0,10
The Da Vinci Code,Thriller Mystery,65.0,10
Rio 2,Animation Adventure Comedy Family,63.0,10
X2,Adventure Action Science Fiction Thriller,68.0,10
Fast Five,Action Thriller Crime,71.0,10
Sherlock Holmes: A Game of Shadows,Adventure Action Crime Mystery,70.0,10
Clash of the Titans,Adventure Fantasy Action,56.0,10
Total Recall,Action Adventure Science Fiction,71.0,10
The 13th Warrior,Adventure Fantasy Action,64.0,10
The Bourne Legacy,Action Thriller,60.0,10
Batman & Robin,Action Crime Fantasy,42.0,10
How the Grinch Stole Christmas,Family Comedy Fantasy,62.0,10
The Day After Tomorrow,Action Adventure Science Fiction Thriller,62.0,10
Mission: Impossible II,Adventure Action Thriller,59.0,10
The Perfect Storm,Drama,62.0,10
Fantastic 4: Rise of the Silver Surfer,Adventure Fantasy Action Thriller,54.0,10
Life of Pi,Adventure Drama Action,72.0,10
Ghost Rider,Thriller Action Fantasy Horror,52.0,10
Jason Bourne,Action Thriller,59.0,10
Charlie's Angels: Full Throttle,Action Adventure Comedy,52.0,10
Prometheus,Science Fiction Adventure Mystery,63.0,10
Stuart Little 2,Family Adventure Animation Comedy,54.0,10
Elysium,Science Fiction Action Drama Thriller,64.0,10
The Chronicles of Riddick,Action Science Fiction,63.0,10
RoboCop,Action Science Fiction,57.0,10
Speed Racer,Action Family Science Fiction,57.0,10
How Do You Know,Comedy Drama Romance,49.0,10
Knight and Day,Action Comedy,59.0,10
Oblivion,Action Science Fiction Adventure Mystery,64.0,10
Star Wars: Episode III - Revenge of the Sith,Science Fiction Adventure Action,71.0,10
Star Wars: Episode II - Attack of the Clones,Adventure Action Science Fiction,64.0,10
"Monsters, Inc.",Animation Comedy Family,75.0,10
The Wolverine,Action Science Fiction Adventure Fantasy,63.0,10
Star Wars: Episode I - The Phantom Menace,Adventure Action Science Fiction,63.0,10
The Croods,Adventure Animation Comedy Family Fantasy,68.0,10
Asterix at the Olympic Games,Fantasy Adventure Comedy Family,50.0,10
Windtalkers,Drama Action History War,58.0,10
The Huntsman: Winter's War,Action Adventure Drama,60.0,10
Teenage Mutant Ninja Turtles,Science Fiction Action Adventure Fantasy Comedy,58.0,10
Gravity,Science Fiction Thriller Drama,73.0,10
Dante's Peak,Action Adventure Thriller,57.0,10
Teenage Mutant Ninja Turtles: Out of the Shadows,Fantasy Action Adventure Comedy,58.0,10
Fantastic Four,Action Adventure Science Fiction,44.0,10
Night at the Museum,Action Adventure Comedy Family Fantasy,63.0,10
San Andreas,Action Drama Thriller,60.0,10
Tomorrow Never Dies,Adventure Action Thriller,60.0,10
The Patriot,Drama History War Action,68.0,10
Ocean's Twelve,Thriller Crime,64.0,10
Mr. & Mrs. Smith,Action Comedy Drama Thriller,65.0,10
Insurgent,Adventure Science Fiction Thriller,62.0,10
The Aviator,Drama,70.0,10
Gulliver's Travels,Comedy,49.0,10
The Green Hornet,Action Crime Comedy,55.0,10
300: Rise of an Empire,Action War,61.0,10
The Smurfs,Animation Family Adventure Comedy Fantasy,55.0,10
Home on the Range,Animation Family,57.0,10
Allegiant,Adventure Science Fiction,59.0,10
Real Steel,Action Science Fiction Drama,66.0,10
The Smurfs 2,Fantasy Family Comedy Animation,55.0,10
Speed 2: Cruise Control,Action Adventure Thriller,41.0,10
Ender's Game,Science Fiction Action Adventure,66.0,10
Live Free or Die Hard,Action Thriller,64.0,10
The Lord of the Rings: The Fellowship of the Ring,Adventure Fantasy Action,80.0,10
Around the World in 80 Days,Action Adventure Comedy,57.0,10
Ali,Drama,67.0,10
The Cat in the Hat,Comedy Fantasy Family,49.0,10
"I, Robot",Action Science Fiction,67.0,10
Kingdom of Heaven,Drama Action Adventure History War,66.0,10
Stuart Little,Animation Fantasy Family Comedy,58.0,10
The Princess and the Frog,Romance Family Animation Music,67.0,10
The Martian,Drama Adventure Science Fiction,76.0,10
The Island,Action Thriller Science Fiction Adventure,65.0,10
Town & Country,Comedy Romance,37.0,10
Gone in Sixty Seconds,Action Crime Thriller,61.0,10
Gladiator,Action Drama Adventure,79.0,10
Minority Report,Action Thriller Science Fiction Mystery,71.0,10
Harry Potter and the Chamber of Secrets,Adventure Fantasy Family,74.0,10
Casino Royale,Adventure Action Thriller,73.0,10
Planet of the Apes,Thriller Science Fiction Action Adventure,56.0,10
Terminator 2: Judgment Day,Action Thriller Science Fiction,77.0,10
Public Enemies,History Crime Drama,65.0,10
American Gangster,Drama Crime,74.0,10
True Lies,Action Thriller,68.0,10
The Taking of Pelham 1 2 3,Thriller Drama Crime,62.0,10
Little Fockers,Comedy Romance,54.0,10
The Other Guys,Action Comedy Crime,61.0,10
Eraser,Action Drama Mystery Thriller,56.0,10
Django Unchained,Drama Western,78.0,10
The Hunchback of Notre Dame,Drama Animation Family,68.0,10
The Emperor's New Groove,Adventure Animation Comedy Family Fantasy,72.0,10
The Expendables 2,Action Adventure Thriller,61.0,10
National Treasure,Adventure Action Thriller Mystery,64.0,10
Eragon,Fantasy Action Adventure Family,49.0,10
Where the Wild Things Are,Family Fantasy,64.0,10
Epic,Animation Adventure Family Fantasy,64.0,10
The Tourist,Action Thriller Romance,60.0,10
End of Days,Action Fantasy Horror Mystery,55.0,10
Blood Diamond,Drama Thriller Action,73.0,10
The Wolf of Wall Street,Crime Drama Comedy,110.1,14
Batman Forever,Action Crime Fantasy,52.0,10
Starship Troopers,Adventure Action Thriller Science Fiction,67.0,10
Cloud Atlas,Drama Science Fiction,66.0,10
Legend of the Guardians: The Owls of Ga'Hoole,Animation Adventure Family Fantasy,65.0,10
Catwoman,Action Crime,42.0,10
Hercules,Action Adventure,56.0,10
Treasure Planet,Adventure Animation Family Fantasy Science Fiction,72.0,10
Land of the Lost,Adventure Comedy Science Fiction,53.0,10
The Expendables 3,Action Adventure Thriller,61.0,10
Point Break,Action Crime Thriller,55.0,10
Son of the Mask,Fantasy Comedy Family Adventure,36.0,10
In the Heart of the Sea,Thriller Drama Adventure Action History,65.0,10
The Adventures of Pluto Nash,Action Comedy Science Fiction,44.0,10
Green Zone,War Action Adventure Drama Thriller,64.0,10
The Peanuts Movie,Animation,65.0,10
The Spanish Prisoner,Crime Drama Mystery Thriller,71.0,10
The Mummy Returns,Adventure Action Fantasy,60.0,10
Gangs of New York,Drama History Crime,71.0,10
The Flowers of War,Drama History War,71.0,10
Surf's Up,Animation Comedy Family,59.0,10
The Stepford Wives,Action Comedy Science Fiction,54.0,10
Black Hawk Down,Action History War,72.0,10
The Campaign,Comedy,56.0,10
The Fifth Element,Adventure Fantasy Action Thriller Science Fiction,73.0,10
Sex and the City 2,Comedy Drama Romance,54.0,10
The Road to El Dorado,Adventure Animation Comedy Family,70.0,10
Ice Age: Continental Drift,Animation Comedy Adventure Family,62.0,10
Cinderella,Romance Fantasy Family Drama,67.0,10
The Lovely Bones,Fantasy Drama,66.0,10
Finding Nemo,Animation Family,76.0,10
The Lord of the Rings: The Return of the King,Adventure Fantasy Action,81.0,10
The Lord of the Rings: The Two Towers,Adventure Fantasy Action,80.0,10
Seventh Son,Adventure Fantasy,52.0,10
Lara Croft: Tomb Raider,Adventure Fantasy Action Thriller,57.0,10
Transcendence,Thriller Science Fiction Drama Mystery,59.0,10
Jurassic Park III,Adventure Action Thriller Science Fiction,57.0,10
Rise of the Planet of the Apes,Thriller Action Drama Science Fiction,70.0,10
The Spiderwick Chronicles,Adventure Family Fantasy,63.0,10
A Good Day to Die Hard,Action Thriller,52.0,10
The Alamo,Western History War,58.0,10
The Incredibles,Action Adventure Animation Family,74.0,10
Cutthroat Island,Action Adventure,57.0,10
Percy Jackson & the Olympians: The Lightning Thief,Adventure Fantasy Family,60.0,10
Men in Black,Action Adventure Comedy Science Fiction,69.0,10
Toy Story 2,Animation Comedy Family,73.0,10
Unstoppable,Action Thriller,63.0,10
Rush Hour 2,Action Comedy Crime Thriller,64.0,10
What Lies Beneath,Drama Horror Mystery Thriller,63.0,10
Cloudy with a Chance of Meatballs,Animation Comedy Family,65.0,10
Ice Age: Dawn of the Dinosaurs,Animation Comedy Family Adventure,65.0,10
The Secret Life of Walter Mitty,Adventure Comedy Drama Fantasy,70.0,10
Charlie's Angels,Action Adventure Comedy Crime Thriller,56.0,10
The Departed,Drama Thriller Crime,79.0,10
Mulan,Animation Family Adventure,76.0,10
Tropic Thunder,Action Comedy,65.0,10
The Girl with the Dragon Tattoo,Thriller Crime Mystery Drama,72.0,10
Die Hard: With a Vengeance,Action Thriller,69.0,10
Sherlock Holmes,Action Adventure Crime Mystery,70.0,10
Ben-Hur,Drama,53.0,10
Atlantis: The Lost Empire,Animation Family Adventure Science Fiction,67.0,10
Alvin and the Chipmunks: The Road Chip,Adventure Animation Comedy Family,58.0,10
Valkyrie,Drama Thriller History War,67.0,10
You Don't Mess with the Zohan,Comedy Action,55.0,10
Pixels,Action Comedy Science Fiction,56.0,10
A.I. Artificial Intelligence,Drama Science Fiction Adventure,68.0,10
The Haunted Mansion,Thriller Fantasy Comedy Family Mystery,52.0,10
Contact,Drama Science Fiction Mystery,72.0,10
Hollow Man,Action Science Fiction Thriller,56.0,10
The Interpreter,Crime Thriller,62.0,10
Percy Jackson: Sea of Monsters,Adventure Family Fantasy,59.0,10
Lara Croft Tomb Raider: The Cradle of Life,Action Adventure Fantasy Thriller,55.0,10
Now You See Me 2,Action Adventure Comedy Crime Mystery,67.0,10
The Saint,Thriller Action Romance Science Fiction Adventure,59.0,10
Spy Game,Action Crime Thriller,68.0,10
Mission to Mars,Science Fiction,57.0,10
Rio,Animation Adventure Comedy Family,65.0,10
Bicentennial Man,Comedy Science Fiction,69.0,10
Volcano,Science Fiction Action Drama Thriller,52.0,10
The Devil's Own,Crime Thriller Drama,59.0,10
K-19: The Widowmaker,Drama History Thriller,61.0,10
Conan the Barbarian,Adventure Fantasy Action,66.0,10
Cinderella Man,Romance Drama History,73.0,10
The Nutcracker: The Untold Story,Fantasy Action Family,54.0,10
Seabiscuit,Drama History,67.0,10
Twister,Action Adventure Drama,61.0,10
Cast Away,Adventure Drama,75.0,10
Happy Feet,Animation Comedy,59.0,10
The Bourne Supremacy,Action Drama Thriller,72.0,10
Air Force One,Action Thriller,62.0,10
Ocean's Eleven,Thriller Crime,72.0,10
The Three Musketeers,Adventure Action Thriller,56.0,10
Hotel Transylvania,Animation Comedy Family Fantasy,68.0,10
Enchanted,Comedy Family Fantasy Romance,66.0,10
Safe House,Action Thriller,63.0,10
102 Dalmatians,Comedy Family,51.0,10
Tower Heist,Action Comedy,58.0,10
The Holiday,Comedy Romance,67.0,10
Enemy of the State,Action Drama Thriller,67.0,10
It's Complicated,Comedy Romance,62.0,10
Ocean's Thirteen,Crime Thriller,65.0,10
Open Season,Adventure Animation Family,61.0,10
Divergent,Adventure Action Science Fiction,69.0,10
Enemy at the Gates,War,72.0,10
The Rundown,Adventure Action Comedy Thriller,64.0,10
Last Action Hero,Adventure Fantasy Action Comedy Family,61.0,10
Memoirs of a Geisha,Drama History Romance,73.0,10
The Fast and the Furious: Tokyo Drift,Action Crime Drama Thriller,61.0,10
Arthur Christmas,Drama Animation Family Comedy,67.0,10
Meet Joe Black,Fantasy Drama Mystery,69.0,10
Collateral Damage,Action Thriller Drama,55.0,10
All That Jazz,Drama Music,73.0,10
Mirror Mirror,Adventure Fantasy Drama Comedy Science Fiction,55.0,10
Scott Pilgrim vs. the World,Action Adventure Comedy,72.0,10
The Core,Action Thriller Adventure Science Fiction,54.0,10
,'credit_id': '58f5f6d1925141277100b78b',0.0,10
Nutty Professor II: The Klumps,Fantasy Comedy Romance Science Fiction,47.0,10
Scooby-Doo,Mystery Adventure Comedy,54.0,10
Dredd,Action Science Fiction,66.0,10
Click,Comedy Drama Fantasy Romance,60.0,10
Creepshow,Horror Comedy Fantasy,67.0,10
Cats & Dogs 2 : The Revenge of Kitty Galore,Comedy Family,49.0,10
Jumper,Adventure Fantasy Science Fiction,59.0,10
Hellboy II: The Golden Army,Adventure Fantasy Science Fiction,65.0,10
Zodiac,Crime Drama Mystery Thriller,73.0,10
The 6th Day,Science Fiction,57.0,10
Bruce Almighty,Fantasy Comedy,64.0,10
The Expendables,Thriller Adventure Action,60.0,10
Mission: Impossible,Adventure Action Thriller,67.0,10
The Hunger Games,Science Fiction Adventure Fantasy,69.0,10
The Hangover Part II,Comedy,62.0,10
Batman Returns,Action Fantasy,66.0,10
Over the Hedge,Comedy Animation Family,63.0,10
Lilo & Stitch,Animation Family,71.0,10
Charlotte's Web,Comedy Family Fantasy,58.0,10
Deep Impact,Action Drama Romance,59.0,10
RED 2,Action Comedy Crime Thriller,64.0,10
The Longest Yard,Comedy Drama,62.0,10
Alvin and the Chipmunks: Chipwrecked,Comedy Fantasy Family Music Animation,54.0,10
Grown Ups 2,Comedy,58.0,10
Get Smart,Action Comedy Thriller,60.0,10
Something's Gotta Give,Drama Comedy Romance,63.0,10
Shutter Island,Drama Thriller Mystery,78.0,10
Four Christmases,Comedy Romance Drama,53.0,10
Robots,Animation Comedy Family Science Fiction,60.0,10
Face/Off,Action Crime Science Fiction Thriller,68.0,10
Bedtime Stories,Fantasy Comedy Family Romance,59.0,10
Road to Perdition,Thriller Crime Drama,73.0,10
Just Go with It,Romance Comedy,63.0,10
Con Air,Action Thriller Crime,65.0,10
Eagle Eye,Mystery Thriller Action,63.0,10
Cold Mountain,Drama,67.0,10
The Book of Eli,Action Thriller Science Fiction,66.0,10
Flubber,Comedy Family Science Fiction,53.0,10
The Haunting,Horror Thriller Fantasy Mystery,52.0,10
Space Jam,Animation Comedy Drama Family Fantasy,65.0,10
The Pink Panther,Action Comedy Crime Mystery Family,56.0,10
The Day the Earth Stood Still,Drama Science Fiction Thriller,52.0,10
Conspiracy Theory,Action Drama Mystery Thriller,65.0,10
Fury,War Drama Action,74.0,10
Six Days Seven Nights,Action Adventure Comedy Romance,56.0,10
Yogi Bear,Comedy Family Animation Adventure,52.0,10
Spirit: Stallion of the Cimarron,Western Animation Adventure Comedy Family,74.0,10
